
1,Stephen Curry, PG,GS,80,32.7,7.32,1.63,8.95,19.4
2,James Harden, SG,HOU,81,36.8,8.66,-0.15,8.51,20.65
3,LeBron James, SF,CLE,69,36.1,5.87,2.63,8.5,16.6
4,Anthony Davis, PF,NO,68,36.1,3.98,4.21,8.19,15.87
5,Kawhi Leonard, SF,SA,64,31.8,2.97,4.59,7.56,12.66
6,Russell Westbrook, PG,OKC,67,34.4,7.79,-0.71,7.08,14.15
7,Chris Paul, PG,LAC,82,34.8,6.44,0.47,6.91,16.73
8,Draymond Green, SF,GS,79,31.5,1.53,5.32,6.85,14.88
9,DeMarcus Cousins, C,SAC,59,34.1,1.4,4.72,6.12,10.86
10,Khris Middleton, SG,MIL,79,30.1,1.97,4.1,6.07,12.44
11,Kyle Korver, SG,ATL,75,32.2,4.08,1.33,5.41,11.57
12,Danny Green, SG,SA,81,28.5,3.25,2.16,5.41,11
13,Tim Duncan, PF,SA,77,28.9,0.53,4.67,5.2,10.33
14,Paul Millsap, PF,ATL,73,32.7,2.87,2.24,5.11,11.04
15,Tony Allen, SF,MEM,63,26.2,-0.11,4.93,4.82,7.24
16,Zaza Pachulia, C,MIL,73,23.7,1.38,3.42,4.8,7.66
17,Tyson Chandler, C,DAL,75,30.5,1.04,3.55,4.59,10
18,Zach Randolph, PF,MEM,71,32.5,1.84,2.72,4.56,9.6
19,Gordon Hayward, SF,UTAH,76,34.4,3.3,1.19,4.49,10.81
20,DeAndre Jordan, C,LAC,82,34.4,2.03,2.44,4.47,12.1
21,Cody Zeller, PF,CHA,62,24,1.12,3.23,4.35,6.08
22,Jimmy Butler, SG,CHI,65,38.7,3.87,0.44,4.31,10.33
23,John Wall, PG,WSH,79,35.9,2.57,1.73,4.3,11.63
24,Kevin Durant, SF,OKC,27,33.8,3.51,0.68,4.19,3.86
25,LaMarcus Aldridge, PF,POR,71,35.4,3.69,0.36,4.05,9.93
26,Andrew Bogut, C,GS,67,23.6,-1.54,5.39,3.85,6.28
27,Kyle Lowry, PG,TOR,70,34.5,2.58,1.24,3.82,9.26
28,Klay Thompson, SG,GS,77,31.9,4.37,-0.55,3.82,9.89
29,George Hill, PG,IND,43,29.5,4.64,-0.85,3.79,4.77
30,Damian Lillard, PG,POR,82,35.7,4.13,-0.37,3.76,11.13
31,Wesley Matthews, SG,POR,60,33.7,1.39,2.27,3.66,7.56
32,Marc Gasol, C,MEM,81,33.2,1.7,1.91,3.61,9.68
33,Nikola Mirotic, PF,CHI,82,20.2,1.75,1.76,3.51,5.93
34,Kelly Olynyk, C,BOS,64,22.3,1.8,1.71,3.51,5.28
35,Eric Bledsoe, PG,PHX,81,34.6,1.61,1.86,3.47,10.39
36,Serge Ibaka, PF,OKC,64,33.1,-0.06,3.52,3.46,7.75
37,Markieff Morris, PF,PHX,82,31.5,0.4,3.03,3.43,9.49
38,Derrick Favors, PF,UTAH,74,30.8,1.22,2.18,3.4,7.84
39,Luol Deng, SF,MIA,72,33.6,3.69,-0.32,3.37,8.41
40,Blake Griffin, PF,LAC,67,35.2,2.97,0.38,3.35,8.46
41,Mike Dunleavy, SF,CHI,63,29.2,1.17,2.17,3.34,6.4
42,Manu Ginobili, SG,SA,70,22.7,1.53,1.75,3.28,5.51
43,Tiago Splitter, C,SA,52,19.8,0.58,2.7,3.28,3.57
44,Jrue Holiday, PG,NO,40,32.6,2.43,0.77,3.2,4.51
45,Matt Barnes, SF,LAC,76,29.9,1.34,1.83,3.17,7.94
46,Tyreke Evans, SG,NO,79,34.1,3.79,-0.65,3.14,9
47,Kyrie Irving, PG,CLE,75,36.4,3.95,-1,2.95,8.97
48,Kevin Love, PF,CLE,75,33.8,1.7,1.11,2.81,8.08
49,Michael Kidd-Gilchrist, SF,CHA,55,28.9,-0.82,3.62,2.8,5.06
50,Anthony Morrow, SG,OKC,74,24.4,2.31,0.42,2.73,5.86
51,Carmelo Anthony, SF,NY,40,35.7,4.81,-2.09,2.72,4.29
52,Ricky Rubio, PG,MIN,22,31.5,0.38,2.33,2.71,2.25
53,Al-Farouq Aminu, SF,DAL,74,18.5,-0.27,2.93,2.66,4.31
54,Greg Monroe, PF,DET,69,31,0.37,2.29,2.66,6.51
55,Thabo Sefolosha, SF,ATL,52,18.8,-0.36,2.97,2.61,2.94
56,Jonas Jerebko, PF,BOS/DET,75,16.4,0.93,1.66,2.59,3.72
57,Iman Shumpert, SG,CLE/NY,62,24.9,0.72,1.87,2.59,4.56
58,Chandler Parsons, SF,DAL,66,33.1,2.48,0.07,2.55,6.8
59,Louis Williams, SG,TOR,80,25.2,4.48,-1.96,2.52,6.02
60,Bradley Beal, SG,WSH,63,33.4,1.94,0.54,2.48,6.13
61,Timofey Mozgov, C,CLE/DEN,81,25.3,-0.82,3.29,2.47,6.18
62,Marcin Gortat, C,WSH,82,29.9,-0.1,2.56,2.46,7.28
63,Tyler Hansbrough, PF,TOR,74,14.3,0.67,1.79,2.46,3.08
64,Jared Dudley, SF,MIL,72,23.8,-0.11,2.47,2.36,5.03
65,Jusuf Nurkic, C,DEN,62,17.8,-1.71,4.01,2.3,3.31
66,Pau Gasol, PF,CHI,78,34.4,0.86,1.43,2.29,7.7
67,Marcus Smart, PG,BOS,67,27,1.15,1.06,2.21,5.2
68,Kenneth Faried, PF,DEN,75,27.8,1.91,0.26,2.17,5.99
69,Al Horford, C,ATL,76,30.5,0.32,1.82,2.14,6.34
70,Mike Conley, PG,MEM,70,31.8,2.36,-0.25,2.11,5.99
71,Robert Covington, SF,PHI,70,27.9,2.07,0.03,2.1,5.48
72,Elfrid Payton, PG,ORL,82,30.4,1.22,0.87,2.09,6.93
73,Lavoy Allen, PF,IND,63,17,0.42,1.61,2.03,2.87
74,Andre Roberson, SG,OKC,67,19.2,-1.31,3.3,1.99,3.6
75,Danilo Gallinari, SF,DEN,59,24.2,2.05,-0.07,1.98,3.9
76,James Johnson, PF,TOR,70,19.6,0.33,1.65,1.98,3.65
77,Dwight Howard, C,HOU,41,29.8,-0.12,2.09,1.97,3.32
78,Rudy Gobert, C,UTAH,82,26.3,-1.66,3.63,1.97,5.54
79,Anthony Tolliver, PF,DET/PHX,76,18.8,2.09,-0.13,1.96,3.81
80,Monta Ellis, SG,DAL,80,33.7,1.81,0.12,1.93,7.39
81,Deron Williams, PG,BKN,68,31.1,2.36,-0.45,1.91,5.51
82,Nick Calathes, SG,MEM,58,14.4,-1.86,3.74,1.88,2.18
83,Jeff Teague, PG,ATL,73,30.5,0.91,0.97,1.88,5.9
84,Darrell Arthur, PF,DEN,58,17,-2.08,3.91,1.83,2.63
85,Amir Johnson, PF,TOR,75,26.4,0.5,1.31,1.81,5.07
86,Darren Collison, PG,SAC,45,34.8,1.52,0.26,1.78,4.11
87,Jared Sullinger, PF,BOS,58,27,1.51,0.16,1.67,3.98
88,Jeremy Lin, PG,LAL,74,25.8,1.39,0.27,1.66,4.75
89,Ty Lawson, PG,DEN,75,35.5,3.99,-2.34,1.65,6.84
90,Trevor Ariza, SF,HOU,82,35.7,-0.78,2.38,1.6,7.32
91,C.J. Miles, SG,IND,70,26.3,0.41,1.18,1.59,4.55
92,Isaiah Thomas, PG,BOS/PHX,67,25.8,4.12,-2.67,1.45,4.16
93,Elijah Millsap, SG,UTAH,47,19.7,-1.99,3.42,1.43,2.1
94,Tristan Thompson, C,CLE,82,26.8,1.85,-0.42,1.43,5
95,J.J. Redick, SG,LAC,78,30.9,1.14,0.26,1.4,5.72
96,C.J. McCollum, SG,POR,62,15.7,0.46,0.89,1.35,2.26
97,Pero Antic, PF,ATL,63,16.5,-0.12,1.46,1.34,2.35
98,Alan Anderson, SG,BKN,74,23.6,-0.91,2.22,1.31,3.95
99,Nick Collison, PF,OKC,66,16.7,-0.83,2.13,1.3,2.54
100,Kentavious Caldwell-Pope, SG,DET,82,31.5,1.66,-0.37,1.29,5.78
101,Brandon Jennings, PG,DET,41,28.6,2.64,-1.41,1.23,2.62
102,Otto Porter Jr., SF,WSH,74,19.4,1.82,-0.59,1.23,3.03
103,Thaddeus Young, SF,MIN/BKN,76,32,0.05,1.15,1.2,5.38
104,J.R. Smith, SG,CLE/NY,70,29.7,1.59,-0.41,1.18,4.52
105,Reggie Jackson, PG,DET/OKC,77,29.5,2.26,-1.09,1.17,4.92
106,Joakim Noah, C,CHI,67,30.6,-1.13,2.22,1.09,4.33
107,Patty Mills, PG,SA,51,15.7,0.52,0.43,0.95,1.66
108,Andre Iguodala, SG,GS,77,26.9,0.18,0.73,0.91,4.29
109,Ben McLemore, SG,SAC,82,32.6,0.2,0.71,0.91,5.51
110,Kevin Garnett, PF,MIN/BKN,47,20.3,-1.42,2.31,0.89,1.86
111,Derrick Rose, PG,CHI,51,30,1.12,-0.24,0.88,3.09
112,Jeremy Evans, SF,UTAH,38,7,0.16,0.72,0.88,0.51
113,Joe Johnson, SF,BKN,80,34.9,2.11,-1.24,0.87,5.41
114,Josh McRoberts, PF,MIA,17,17.4,-0.37,1.24,0.87,0.56
115,Cory Joseph, PG,SA,79,18.3,-0.06,0.93,0.87,2.83
116,Giannis Antetokounmpo, SF,MIL,81,31.4,-0.63,1.5,0.87,5.04
117,Joel Anthony, C,DET,49,8.3,-1.82,2.68,0.86,0.8
118,Mike Muscala, PF,ATL,40,12.6,-0.1,0.93,0.83,0.98
119,J.J. Barea, PG,DAL,77,17.7,2.71,-1.93,0.78,2.64
120,Andre Drummond, C,DET,82,30.5,-0.08,0.82,0.74,4.75
121,Kosta Koufos, C,MEM,81,16.6,-2.57,3.3,0.73,2.55
122,Hassan Whiteside, C,MIA,48,23.8,-0.96,1.66,0.7,2.12
123,Chris Bosh, C,MIA,44,35.4,0.72,-0.04,0.68,2.82
124,Dirk Nowitzki, PF,DAL,77,29.6,2.51,-1.88,0.63,4.23
125,Nene Hilario, PF,WSH,67,25.3,-2.31,2.91,0.6,3.04
126,Tyler Zeller, C,BOS,82,21.1,-0.78,1.36,0.58,3.25
127,Luis Scola, PF,IND,81,20.5,-0.31,0.88,0.57,3.03
128,Ronnie Price, PG,LAL,43,22.8,0.17,0.4,0.57,1.79
129,Nikola Pekovic, C,MIN,31,26.3,-0.43,1,0.57,1.49
130,Harrison Barnes, SF,GS,82,28.3,-0.4,0.95,0.55,4.37
131,Robin Lopez, C,POR,59,27.8,-1.22,1.74,0.52,2.93
132,Marvin Williams, PF,CHA,78,26.1,-0.6,1.03,0.43,3.48
133,DeMarre Carroll, SF,ATL,70,31.3,0.78,-0.36,0.42,3.76
134,Rudy Gay, SF,SAC,68,35.4,2.86,-2.46,0.4,4.18
135,Nicolas Batum, SF,POR,71,33.5,0.26,0.12,0.38,4.08
136,Gerald Henderson, SG,CHA,80,28.9,-0.64,1.02,0.38,3.87
137,C.J. Watson, PG,IND,57,24.9,0.72,-0.35,0.37,2.42
138,Lou Amundson, PF,CLE/NY,53,17.7,-2.56,2.91,0.35,1.53
139,Patrick Patterson, PF,TOR,81,26.6,2.17,-1.83,0.34,3.52
140,Paul Pierce, SF,WSH,73,26.2,0.06,0.26,0.32,3.16
141,Cory Jefferson, PF,BKN,50,10.6,-1.23,1.53,0.3,0.86
142,Dorell Wright, SF,POR,48,12.4,0.43,-0.16,0.27,0.96
143,Jeff Adrien, SF,MIN,17,12.6,-0.48,0.67,0.19,0.32
144,Jason Terry, SG,HOU,77,21.3,-0.21,0.37,0.16,2.64
145,Sim Bhullar, C,SAC,3,1,-0.31,0.46,0.15,0
146,Aron Baynes, C,SA,70,16,-1.13,1.25,0.12,1.75
147,Mitch McGary, PF,OKC,32,15.2,-0.24,0.35,0.11,0.78
148,Donatas Motiejunas, PF,HOU,71,28.7,-1.03,1.13,0.1,3.14
149,Boris Diaw, C,SA,81,24.5,-0.21,0.26,0.05,2.92
150,David Lee, PF,GS,49,18.4,0.34,-0.34,0,1.36
151,Luigi Datome, SF,BOS/DET,21,10,-0.19,0.19,0,0.3
152,Roy Hibbert, C,IND,76,25.3,-2.44,2.43,-0.01,2.73
153,David West, PF,IND,66,28.7,-1.07,1.01,-0.06,2.68
154,Alexis Ajinca, C,NO,68,14.1,-1,0.9,-0.1,1.28
155,Chris Andersen, PF,MIA,60,18.9,-2.09,1.94,-0.15,1.5
156,DeMar DeRozan, SG,TOR,60,35,0.22,-0.38,-0.16,2.84
157,Wayne Ellington, SG,LAL,65,25.8,-0.69,0.53,-0.16,2.2
158,Meyers Leonard, C,POR,55,15.4,-1.88,1.71,-0.17,1.16
159,James Ennis, SF,MIA,62,17,0.11,-0.35,-0.24,1.32
160,Chuck Hayes, C,TOR,29,8.8,-0.33,0.08,-0.25,0.33
161,Elliot Williams, SG,NO/UTAH,13,9.2,0.53,-0.82,-0.29,0.05
162,Victor Oladipo, SG,ORL,72,35.7,1.28,-1.59,-0.31,3.29
163,Rodney Stuckey, PG,IND,71,26.4,-0.19,-0.14,-0.33,2.33
164,Brandan Wright, PF,BOS/DAL/PHX,75,19.3,-0.49,0.16,-0.33,1.84
165,Joel Freeland, C,POR,48,12.9,-1.81,1.47,-0.34,0.77
166,Goran Dragic, SG,MIA/PHX,78,33.8,1.76,-2.1,-0.34,3.36
167,Drew Gooden, PF,WSH,51,16.9,-0.28,-0.07,-0.35,1.03
168,Dwyane Wade, SG,MIA,62,31.8,1.61,-1.96,-0.35,2.4
169,Avery Bradley, PG,BOS,77,31.5,-1.08,0.73,-0.35,3.11
170,Terrence Jones, PF,HOU,33,26.9,-1.17,0.81,-0.36,1.12
171,Sergey Karasev, SG,BKN,33,16.8,-0.66,0.29,-0.37,0.68
172,Rodney Hood, SG,UTAH,50,21.3,-0.48,0.07,-0.41,1.22
173,Kendall Marshall, PG,MIL,28,14.9,0.49,-0.91,-0.42,0.5
174,Miroslav Raduljica, C,MIN,5,4.6,-0.8,0.38,-0.42,0.03
175,Josh Smith, SF,DET/HOU,83,27.7,-1.83,1.39,-0.44,2.81
176,Jae Crowder, SF,BOS/DAL,82,20.1,0.62,-1.06,-0.44,1.99
177,Larry Sanders, C,MIL,27,21.7,-3.42,2.9,-0.52,0.69
178,James Michael McAdoo, SF,GS,15,9.1,0.02,-0.57,-0.55,0.16
179,Nazr Mohammed, C,CHI,23,5.6,-0.9,0.34,-0.56,0.14
180,Quincy Miller, PF,DET/SAC,10,11.9,-1.01,0.44,-0.57,0.14
181,Brook Lopez, C,BKN,72,29.2,-0.76,0.17,-0.59,2.24
182,Victor Claver, PF,POR,10,7.6,-0.66,0.07,-0.59,0.08
183,Dewayne Dedmon, C,ORL,59,14.3,-2.79,2.2,-0.59,0.92
184,Richard Jefferson, SF,DAL,74,16.8,-0.45,-0.15,-0.6,1.38
185,Tony Snell, SF,CHI,72,19.6,-0.3,-0.3,-0.6,1.52
186,P.J. Tucker, SF,PHX,78,30.6,-1.22,0.61,-0.61,2.61
187,Mason Plumlee, PF,BKN,82,21.3,-0.33,-0.29,-0.62,1.81
188,Shaun Livingston, PG,GS,78,18.8,-1.3,0.64,-0.66,1.57
189,Jonas Valanciunas, C,TOR,80,26.2,-1.71,1.02,-0.69,2.15
190,Mo Williams, PG,MIN/CHA,68,29.1,1.02,-1.74,-0.72,2.02
191,Tyler Johnson, SG,MIA,32,18.8,0.44,-1.17,-0.73,0
192,Gorgui Dieng, C,MIN,73,30,-1.42,0.68,-0.74,2.2
193,Alex Len, C,PHX,69,22,-2.9,2.16,-0.74,1.59
194,Ian Mahinmi, C,IND,61,18.8,-3.22,2.47,-0.75,1.13
195,Pablo Prigioni, PG,HOU/NY,67,17.9,-0.46,-0.31,-0.77,1.16
196,Wesley Johnson, SF,LAL,76,29.5,-0.2,-0.59,-0.79,2.13
197,Hedo Turkoglu, SF,LAC,62,11.4,-0.04,-0.76,-0.8,0.68
198,Jarnell Stokes, PF,MEM,19,6.6,-1.56,0.76,-0.8,0.12
199,Dante Cunningham, PF,NO,66,25,-1.38,0.54,-0.84,1.48
200,Evan Fournier, SG,ORL,58,28.6,0.48,-1.34,-0.86,1.53
201,Matthew Dellavedova, SG,CLE,67,20.6,-0.38,-0.48,-0.86,1.22
202,Steve Blake, PG,POR,81,18.9,-0.12,-0.75,-0.87,1.4
203,Tyrus Thomas, PF,MEM,2,3.5,-0.42,-0.46,-0.88,0.01
204,Langston Galloway, PG,NY,45,32.4,-0.42,-0.46,-0.88,1.31
205,Alex Kirk, C,CLE,5,2.8,-0.98,0.09,-0.89,0.01
206,Courtney Lee, SG,MEM,77,30.6,0.23,-1.14,-0.91,2.05
207,Al Jefferson, C,CHA,65,30.6,-1.48,0.56,-0.92,1.74
208,Ekpe Udoh, PF,LAC,33,3.9,-1.23,0.3,-0.93,0.12
209,Jerrelle Benimon, PF,UTAH,2,1.5,-1.17,0.21,-0.96,0
210,Bismack Biyombo, C,CHA,64,19.4,-2.58,1.58,-1,1.02
211,Festus Ezeli, C,GS,46,11,-1.73,0.73,-1,0.43
212,Kyle O'Quinn, PF,ORL,51,16.2,-2.82,1.82,-1,0.69
213,Jack Cooley, SF,UTAH,16,5.4,-1.67,0.66,-1.01,0.08
214,Robert Sacre, C,LAL,67,16.9,-2.61,1.59,-1.02,0.93
215,Kemba Walker, PG,CHA,62,34.2,0.96,-2,-1.04,1.68
216,Marcus Morris, PF,PHX,81,25.2,0.86,-1.91,-1.05,1.69
217,Aaron Brooks, PG,CHI,82,23,1.25,-2.33,-1.08,1.46
218,Eric Moreland, PF,SAC,3,0.7,-0.57,-0.51,-1.08,0
219,Glenn Robinson III, SG,MIN/PHI,35,7.5,0.19,-1.28,-1.09,0.21
220,Shayne Whittington, PF,IND,20,5.4,-0.32,-0.78,-1.1,0.08
221,Ersan Ilyasova, PF,MIL,58,22.7,1.34,-2.45,-1.11,1.02
222,Ronny Turiaf, C,MIN,2,9.5,-1.28,0.16,-1.12,0.02
223,Elton Brand, PF,ATL,36,13.5,-1.93,0.8,-1.13,0.37
224,Trevor Booker, PF,UTAH,79,19.8,0.38,-1.51,-1.13,1.13
225,Lester Hudson, SG,LAC,5,11.2,-0.22,-0.93,-1.15,0.04
226,Ed Davis, PF,LAL,79,23.3,-0.26,-0.89,-1.15,1.35
227,Reggie Evans, C,SAC,47,16.3,-1.06,-0.1,-1.16,0.55
228,Omer Asik, C,NO,76,26.1,-3,1.84,-1.16,1.44
229,Steven Adams, C,OKC,70,25.3,-2.71,1.54,-1.17,1.31
230,Mario Chalmers, PG,MIA,80,29.6,-1.65,0.46,-1.19,1.66
231,Ryan Hollins, C,SAC,46,9.6,-1.98,0.77,-1.21,0.32
232,Jordan Adams, SG,MEM,30,8.3,-0.63,-0.61,-1.24,0.17
233,Amar'e Stoudemire, C,DAL/NY,59,21.1,-0.13,-1.12,-1.25,0.82
